,x,y
0,-1.0,6.666260304257983e-48
1,-0.999,8.241660872521774e-48
2,-0.998,1.0187287926502322e-47
3,-0.997,1.2589653869665468e-47
4,-0.996,1.5555370790396461e-47
5,-0.995,1.9215793097002667e-47
6,-0.994,2.3732726177981146e-47
7,-0.993,2.930544439765651e-47
8,-0.992,3.617931693268732e-47
9,-0.991,4.465640759427831e-47
10,-0.99,5.510849765193481e-47
11,-0.989,6.799308218601016e-47
12,-0.988,8.387301481414466e-47
13,-0.987,1.034406278530615e-46
14,-0.986,1.2754734131269874e-46
15,-0.985,1.572400021742255e-46
16,-0.984,1.9380547445783795e-46
17,-0.983,2.3882534197340615e-46
18,-0.982,2.9424300320127995e-46
19,-0.981,3.624459483574003e-46
20,-0.98,4.463666329599413e-46
21,-0.979,5.496061252720129e-46
22,-0.978,6.7658563750428694e-46
23,-0.977,8.32732190014244e-46
24,-0.976,1.024706049516145e-45
25,-0.975,1.2606792820850284e-45
26,-0.974,1.5506768372100607e-45
27,-0.973,1.906994112837518e-45
28,-0.972,2.3447080437351976e-45
29,-0.971,2.8823025290222506e-45
30,-0.97,3.542433618364882e-45
31,-0.969,4.352865491589795e-45
32,-0.968,5.347615114121517e-45
33,-0.967,6.56835179943568e-45
34,-0.966,8.066108086513745e-45
35,-0.965,9.903370742747675e-45
36,-0.964,1.2156635814345406e-44
37,-0.963,1.4919530054971288e-44
38,-0.962,1.8306623483606564e-44
39,-0.961,2.2458085122940303e-44
40,-0.96,2.754536720497697e-44
41,-0.959,3.3778143582833493e-44
42,-0.958,4.141277731328961e-44
43,-0.957,5.076265226383891e-44
44,-0.956,6.221077644497206e-44
45,-0.955,7.622515335817531e-44
46,-0.954,9.33775253616951e-44
47,-0.953,1.1436622398900412e-43
48,-0.952,1.4004402128150495e-43
49,-0.951,1.7145206954699027e-43
50,-0.95,2.098612518391495e-43
51,-0.949,2.5682255073210995e-43
52,-0.948,3.1422838937619527e-43
53,-0.947,3.8438731937749505e-43
54,-0.946,4.701149405054145e-43
55,-0.945,5.748445566861954e-43
56,-0.944,7.027618242985296e-43
57,-0.943,8.589685604271594e-43
58,-0.942,1.0496819843142374e-42
59,-0.941,1.2824770057492311e-42
60,-0.94,1.5665807991271464e-42
61,-0.9390000000000001,1.9132308713337393e-42
62,-0.938,2.336110217992517e-42
63,-0.937,2.851876053572789e-42
64,-0.9359999999999999,3.48080210237766e-42
65,-0.935,4.247558677519157e-42
66,-0.9339999999999999,5.182159908366046e-42
67,-0.933,6.321113690451667e-42
68,-0.9319999999999999,7.708817451160568e-42
69,-0.931,9.399251922116958e-42
70,-0.9299999999999999,1.1458036114057351e-41
71,-0.929,1.3964919999008568e-41
72,-0.9279999999999999,1.7016807496917972e-41
73,-0.927,2.0731421817281945e-41
74,-0.926,2.5251748717907155e-41
75,-0.925,3.0751421653086935e-41
76,-0.924,3.744124710557552e-41
77,-0.923,4.557710985207957e-41
78,-0.922,5.546954797243389e-41
79,-0.921,6.749534785145403e-41
80,-0.92,8.211158237567222e-41
81,-0.919,9.98726035672341e-41
82,-0.918,1.2145060712129904e-40
83,-0.917,1.4766051444985156e-40
84,-0.916,1.7949007237107992e-40
85,-0.915,2.1813625691841193e-40
86,-0.914,2.650492923724359e-40
87,-0.913,3.2198586735391683e-40
88,-0.912,3.9107345605075275e-40
89,-0.911,4.7488804567908374e-40
90,-0.91,5.765480446726355e-40
91,-0.909,6.998277161660851e-40
92,-0.908,8.49294167684715e-40
93,-0.907,1.0304727541132302e-39
94,-0.906,1.25004674525929e-39
95,-0.905,1.516098305593166e-39
96,-0.904,1.8383992727738745e-39
97,-0.903,2.228761952260341e-39
98,-0.902,2.7014622263198537e-39
99,-0.901,3.273749777461786e-39
100,-0.9,3.966463233148898e-39
101,-0.899,4.8047716517831704e-39
102,-0.898,5.819068110754064e-39
103,-0.897,7.046046371210874e-39
104,-0.896,8.529997855422988e-39
105,-0.895,1.0324373689913283e-38
106,-0.894,1.2493665591040529e-38
107,-0.893,1.5115670198830338e-38
108,-0.892,1.8284214458134594e-38
109,-0.891,2.211243523280326e-38
110,-0.89,2.6736725032040537e-38
111,-0.889,3.232147814303104e-38
112,-0.888,3.9064798335280894e-38
113,-0.887,4.720536150908415e-38
114,-0.886,5.703066525422616e-38
115,-0.885,6.888694352204966e-38
116,-0.884,8.319107999623669e-38
117,-0.883,1.0044492006960619e-37
118,-0.882,1.2125246073986723e-37
119,-0.881,1.4634049278722347e-37
120,-0.88,1.765833833488197e-37
121,-0.879,2.1303282310989594e-37
122,-0.878,2.569535251465354e-37
123,-0.877,3.0986605718009463e-37
124,-0.876,3.735982218429779e-37
125,-0.875,4.503466779093472e-37
126,-0.874,5.4275082813896496e-37
127,-0.873,6.539813969395665e-37
128,-0.872,7.878465960178853e-37
129,-0.871,9.489193435099701e-37
130,-0.87,1.1426896795724016e-36
131,-0.869,1.3757473302964119e-36
132,-0.868,1.6560003373503476e-36
133,-0.867,1.9929368230588352e-36
134,-0.866,2.397938335513902e-36
135,-0.865,2.884654858430285e-36
136,-0.864,3.469453526546969e-36
137,-0.863,4.171955419811625e-36
138,-0.862,5.015677590171225e-36
139,-0.861,6.02880078892904e-36
140,-0.86,7.245087311841881e-36
141,-0.859,8.704978084103999e-36
