,x,y
0,1,91.25
1,3,36.875
2,5,20.0
3,7,19.375
4,9,19.375
5,11,12.5
6,13,13.125
7,15,20.0
8,17,10.625
9,19,12.5
10,21,6.875
11,23,7.5
12,25,6.875
13,27,9.375
14,29,10.0
15,31,3.75
16,33,5.0
17,35,5.0
18,37,7.5
19,39,3.75
20,41,5.0
21,43,2.5
22,45,5.625
23,47,4.375
24,49,1.875
25,51,1.875
26,53,2.5
27,55,1.25
28,57,2.5
29,59,3.75
30,61,1.25
31,63,3.75
32,65,1.25
33,67,1.875
34,69,3.125
35,71,1.25
36,73,1.25
37,75,1.25
38,77,1.25
39,79,1.25
40,81,1.25
41,83,2.5
42,85,2.5
43,87,1.25
44,89,3.75
45,91,
46,93,1.25
47,95,1.25
48,97,1.25
49,99,2.5
50,101,1.25
51,103,
52,105,
53,107,1.25
54,109,1.25
55,111,1.25
56,113,3.75
57,115,
58,117,
59,119,1.25
60,121,1.25
61,123,3.75
62,125,
63,127,
64,129,1.25
65,131,1.25
66,133,1.25
67,135,1.25
68,137,
69,139,
70,141,1.25
71,143,
72,145,1.25
73,147,
74,149,
75,151,
76,153,1.25
77,155,1.25
78,157,1.875
79,159,1.25
80,161,1.25
81,163,
82,165,
83,167,
84,169,
85,171,
86,173,
87,175,
88,177,1.25
89,179,
90,181,1.25
91,183,
92,185,
93,187,
94,189,
95,191,
96,193,
97,195,
98,197,
99,199,
100,201,
101,203,1.25
102,205,2.5
103,207,1.25
104,209,
105,211,
106,213,
107,215,
108,217,
109,219,1.25
110,221,
111,223,
112,225,
113,227,
114,229,
115,231,
116,233,
117,235,
118,237,
119,239,1.25
120,241,
121,243,
122,245,
123,247,
124,249,
125,251,
126,253,
127,255,1.25
128,257,2.5
129,259,
130,261,
131,263,
132,265,
133,267,
134,269,
135,271,
136,273,
137,275,
138,277,
139,279,
140,281,
141,283,
142,285,
143,287,
144,289,
145,291,
146,293,
147,295,
148,297,
149,299,
