,x,y
0,1.0,71.9016772230151
1,1.2589254117941673,67.46195242465201
2,1.5848931924611136,61.319448040024696
3,1.9952623149688797,53.8236741940566
4,2.51188643150958,45.71295934089592
5,3.1622776601683795,37.858233593443074
6,3.981071705534973,30.893346122789474
7,5.011872336272724,25.041829314984216
8,6.309573444801933,20.24010240034703
9,7.943282347242816,16.332403405251807
10,10.0,13.16418927903317
11,12.589254117941675,10.601709499549715
12,15.848931924611142,8.532698496823928
13,19.952623149688797,6.864213626706759
14,25.11886431509581,5.519971213378048
15,31.622776601683793,4.437721735064981
16,39.810717055349734,3.566871676600778
17,50.11872336272725,2.866419054841496
18,63.09573444801933,2.3032049251060642
19,79.43282347242817,1.850455187977984
20,100.0,1.486576828324644
21,125.89254117941675,1.1941711419782621
22,158.48931924611142,0.9592287436187119
