,x,y
0,1.0,10.864089931794238
1,1.2589254117941673,9.584061201052377
2,1.5848931924611136,8.34209023293703
3,1.9952623149688797,7.1817818965403415
4,2.51188643150958,6.130897206968401
5,3.1622776601683795,5.2011399373672615
6,3.981071705534973,4.392182236012447
7,5.011872336272724,3.6965053249717985
8,6.309573444801933,3.1031392408740692
9,7.943282347242816,2.600005558665277
10,10.0,2.1752161153644827
11,12.589254117941675,1.8177239383785282
12,15.848931924611142,1.5176006478166046
13,19.952623149688797,1.2660489640090584
14,25.11886431509581,1.0536378090429415
15,31.622776601683793,0.843955616457548
16,39.810717055349734,0.4821281921987178
17,50.11872336272725,0.07630003183421326
18,63.09573444801933,0.0007746021557959999
19,79.43282347242817,8.407700865262439e-08
20,100.0,9.856728312885419e-15
21,125.89254117941675,5.825749207204423e-26
22,158.48931924611142,2.754850009149112e-43
