,x,y
0,1,77.5
1,3,39.375
2,5,33.75
3,7,22.5
4,9,10.625
5,11,15.0
6,13,8.75
7,15,8.75
8,17,10.0
9,19,5.625
10,21,5.625
11,23,5.0
12,25,5.0
13,27,6.875
14,29,6.25
15,31,4.375
16,33,3.75
17,35,8.125
18,37,1.25
19,39,1.25
20,41,3.125
21,43,1.875
22,45,3.75
23,47,1.875
24,49,3.75
25,51,2.5
26,53,2.5
27,55,1.25
28,57,2.5
29,59,1.25
30,61,1.25
31,63,1.25
32,65,
33,67,
34,69,1.25
35,71,
36,73,
37,75,
38,77,1.25
39,79,
40,81,3.75
41,83,1.25
42,85,
43,87,
44,89,
45,91,
46,93,
47,95,2.5
48,97,
49,99,1.25
50,101,
51,103,1.25
52,105,1.25
53,107,
54,109,
55,111,
56,113,1.25
57,115,
58,117,
59,119,
60,121,
61,123,1.25
62,125,1.25
63,127,
64,129,
65,131,1.25
66,133,1.25
67,135,1.25
68,137,1.25
69,139,
70,141,
71,143,
72,145,
73,147,1.25
74,149,
75,151,
76,153,
77,155,
78,157,1.25
79,159,
80,161,
81,163,1.25
82,165,2.5
83,167,
84,169,
85,171,
86,173,
87,175,
88,177,
89,179,
90,181,
91,183,
92,185,
93,187,
94,189,
95,191,
96,193,
97,195,
98,197,
99,199,
100,201,1.25
101,203,
102,205,
103,207,
104,209,
105,211,
106,213,
107,215,
108,217,
109,219,
110,221,
111,223,
112,225,
113,227,
114,229,
115,231,1.25
116,233,1.25
117,235,
118,237,
119,239,
120,241,
121,243,2.5
122,245,
123,247,
124,249,
125,251,
126,253,
127,255,
128,257,
129,259,
130,261,
131,263,
132,265,
133,267,
134,269,
135,271,
136,273,
137,275,
138,277,
139,279,
140,281,
141,283,
142,285,
143,287,
144,289,
145,291,
146,293,
147,295,
148,297,2.5
149,299,3.75
