,x,y
0,1,71.25
1,3,45.625
2,5,30.0
3,7,18.125
4,9,14.375
5,11,16.25
6,13,11.25
7,15,7.5
8,17,6.25
9,19,7.5
10,21,8.125
11,23,1.875
12,25,8.125
13,27,6.875
14,29,3.75
15,31,7.5
16,33,2.5
17,35,3.75
18,37,2.5
19,39,2.5
20,41,4.375
21,43,3.125
22,45,1.25
23,47,2.5
24,49,1.25
25,51,5.0
26,53,3.125
27,55,1.875
28,57,1.25
29,59,1.25
30,61,1.25
31,63,2.5
32,65,
33,67,1.25
34,69,1.25
35,71,
36,73,1.25
37,75,1.25
38,77,1.25
39,79,
40,81,1.25
41,83,
42,85,1.25
43,87,1.25
44,89,
45,91,
46,93,1.25
47,95,
48,97,
49,99,
50,101,1.25
51,103,
52,105,1.25
53,107,1.25
54,109,1.25
55,111,
56,113,1.25
57,115,
58,117,
59,119,
60,121,
61,123,
62,125,1.25
63,127,
64,129,
65,131,1.25
66,133,
67,135,
68,137,
69,139,
70,141,1.25
71,143,
72,145,1.25
73,147,1.25
74,149,1.25
75,151,
76,153,1.25
77,155,
78,157,1.25
79,159,
80,161,1.25
81,163,
82,165,
83,167,
84,169,
85,171,1.25
86,173,
87,175,
88,177,
89,179,
90,181,
91,183,
92,185,
93,187,
94,189,
95,191,
96,193,1.25
97,195,
98,197,
99,199,
100,201,
101,203,
102,205,1.25
103,207,
104,209,
105,211,
106,213,
107,215,
108,217,
109,219,
110,221,
111,223,
112,225,
113,227,
114,229,
115,231,
116,233,
117,235,
118,237,
119,239,
120,241,1.25
121,243,
122,245,
123,247,
124,249,
125,251,1.25
126,253,
127,255,1.25
128,257,1.25
129,259,
130,261,
131,263,
132,265,
133,267,
134,269,
135,271,
136,273,
137,275,
138,277,
139,279,
140,281,
141,283,
142,285,
143,287,
144,289,
145,291,
146,293,
147,295,
148,297,
149,299,
