,x,y
0,-1.0,4.4751625429275257e-29
1,-0.999,5.087955128131762e-29
2,-0.998,5.78394446535933e-29
3,-0.997,6.57432757675413e-29
4,-0.996,7.47179500980056e-29
5,-0.995,8.490728235096894e-29
6,-0.994,9.647422890036433e-29
7,-0.993,1.0960341220032036e-28
8,-0.992,1.2450397499258183e-28
9,-0.991,1.4141280697945231e-28
10,-0.99,1.6059819209875694e-28
11,-0.989,1.8236393069686996e-28
12,-0.988,2.070539978352414e-28
13,-0.987,2.350578067834048e-28
14,-0.986,2.6681615555650403e-28
15,-0.985,3.0282794427195704e-28
16,-0.984,3.436577622662456e-28
17,-0.983,3.8994445648544885e-28
18,-0.982,4.424108068164589e-28
19,-0.981,5.018744499575218e-28
20,-0.98,5.692602113564297e-28
21,-0.979,6.456140249223603e-28
22,-0.978,7.32118642918869e-28
23,-0.977,8.301113639870642e-28
24,-0.976,9.411040359765282e-28
25,-0.975,1.06680562257524e-27
26,-0.974,1.2091476590660433e-27
27,-0.973,1.3703129633975658e-27
28,-0.972,1.5527680146913703e-27
29,-0.971,1.759299462946814e-27
30,-0.97,1.993055291742129e-27
31,-0.969,2.2575912209568644e-27
32,-0.968,2.5569230098312476e-27
33,-0.967,2.895585403024682e-27
34,-0.966,3.2786985548361695e-27
35,-0.965,3.7120428706562465e-27
36,-0.964,4.202143321404498e-27
37,-0.963,4.756364417746497e-27
38,-0.962,5.383017177998953e-27
39,-0.961,6.091479588801728e-27
40,-0.96,6.89233224301805e-27
41,-0.959,7.797511047401399e-27
42,-0.958,8.820479126050186e-27
43,-0.957,9.976420307661193e-27
44,-0.956,1.128245687850118e-26
45,-0.955,1.2757894612708496e-26
46,-0.954,1.442449846131258e-26
47,-0.953,1.630680269603434e-26
48,-0.952,1.843245976890215e-26
49,-0.951,2.0832632670009632e-26
50,-0.95,2.3542436150103934e-26
51,-0.949,2.6601432829658646e-26
52,-0.948,3.005419095011083e-26
53,-0.947,3.395091134541858e-26
54,-0.946,3.834813213361437e-26
55,-0.945,4.330952066032568e-26
56,-0.944,4.89067633825074e-26
57,-0.943,5.522056567558106e-26
58,-0.942,6.234177499724532e-26
59,-0.941,7.037264246478402e-26
60,-0.94,7.942823972023711e-26
61,-0.9390000000000001,8.963804999226193e-26
62,-0.938,1.0114775454048717e-25
63,-0.937,1.1412123821608646e-25
64,-0.9359999999999999,1.2874284072333735e-25
65,-0.935,1.4521988335625848e-25
66,-0.9339999999999999,1.637855045522692e-25
67,-0.933,1.8470184159491588e-25
68,-0.9319999999999999,2.082636002602011e-25
69,-0.931,2.348020591903343e-25
70,-0.9299999999999999,2.646895613571709e-25
71,-0.929,2.983445512129308e-25
72,-0.9279999999999999,3.3623722309560983e-25
73,-0.927,3.7889585424487857e-25
74,-0.926,4.269139044876243e-25
75,-0.925,4.80957974375711e-25
76,-0.924,5.417767244206005e-25
77,-0.923,6.102108702019711e-25
78,-0.922,6.8720438167690185e-25
79,-0.921,7.73817030146133e-25
80,-0.92,8.712384432266313e-25
81,-0.919,9.808038470376743e-25
82,-0.918,1.1040116958570354e-24
83,-0.917,1.2425434129961402e-24
84,-0.916,1.398285492857911e-24
85,-0.915,1.5733542433902412e-24
86,-0.914,1.770123480778827e-24
87,-0.913,1.991255524621022e-24
88,-0.912,2.2397358824165615e-24
89,-0.911,2.5189120574806417e-24
90,-0.91,2.8325369648601417e-24
91,-0.909,3.1848174961056668e-24
92,-0.908,3.580468836480025e-24
93,-0.907,4.0247752080961476e-24
94,-0.906,4.523657790388348e-24
95,-0.905,5.0837506561341926e-24
96,-0.904,5.7124856579616705e-24
97,-0.903,6.418187308018015e-24
98,-0.902,7.210178813475286e-24
99,-0.901,8.098900564191288e-24
100,-0.9,9.096042517648946e-24
101,-0.899,1.0214692091980136e-23
102,-0.898,1.1469499362305963e-23
103,-0.897,1.2876861560915858e-23
104,-0.896,1.44551291102657e-23
105,-0.895,1.6224835671997904e-23
106,-0.894,1.820895497803804e-23
